unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1612756860,02/08/2021 04:01:00,BTC/USD,38129.74,38191.69,38129.74,38174.86,2.90500248,110898.062973652
1612756800,02/08/2021 04:00:00,BTC/USD,38097.75,38123.75,38050.97,38122.28,5.19299297,197968.732040371
1612756740,02/08/2021 03:59:00,BTC/USD,38130.11,38130.35,38080.69,38111.5,6.07088618,231370.57864907
1612756680,02/08/2021 03:58:00,BTC/USD,38103.64,38106.62,38070,38104.7,2.51673701,95899.5087449469
1612756620,02/08/2021 03:57:00,BTC/USD,38105.93,38113.4,38102.88,38102.89,0.70023132,26680.8369605148
1612756560,02/08/2021 03:56:00,BTC/USD,38114.05,38124.03,38081,38122.73,5.21253337,198716.0022805
1612756500,02/08/2021 03:55:00,BTC/USD,38181.17,38199.93,38096.63,38096.63,7.49995688,285723.082273314
1612756440,02/08/2021 03:54:00,BTC/USD,38145.62,38164.71,38145.62,38164.71,1.59685029,60943.3282312658
1612756380,02/08/2021 03:53:00,BTC/USD,38155,38164.13,38100,38141.59,12.79420791,487991.432477976
1612756320,02/08/2021 03:52:00,BTC/USD,38192.86,38192.86,38155.03,38159.12,2.5064639,95644.456735768
1612756260,02/08/2021 03:51:00,BTC/USD,38268,38270.45,38188.12,38188.12,3.95002649,150844.085603298
1612756200,02/08/2021 03:50:00,BTC/USD,38332.16,38332.16,38260.24,38260.56,4.77515308,182700.030926524
1612756140,02/08/2021 03:49:00,BTC/USD,38389.05,38389.05,38356.07,38356.11,2.28814,87764.1495353999
1612756080,02/08/2021 03:48:00,BTC/USD,38342.02,38378.35,38333.31,38378.35,2.9940996,114908.60238366
1612756020,02/08/2021 03:47:00,BTC/USD,38363.23,38398.86,38361.12,38361.12,2.72028577,104353.208857262
1612755960,02/08/2021 03:46:00,BTC/USD,38386.44,38386.56,38325.18,38370.3,5.16286192,198100.560728976
1612755900,02/08/2021 03:45:00,BTC/USD,38465.52,38480.14,38392.83,38394.3,5.4124575,207807.51699225
1612755840,02/08/2021 03:44:00,BTC/USD,38444.25,38471.2,38444.25,38465.1,1.62331674,62441.040735774
1612755780,02/08/2021 03:43:00,BTC/USD,38472.65,38472.65,38427.11,38444.21,1.87423339,72053.4220341719
1612755720,02/08/2021 03:42:00,BTC/USD,38504.15,38513.39,38502.98,38504.45,0.660617,25436.69424565
1612755660,02/08/2021 03:41:00,BTC/USD,38396.1,38470.17,38396.1,38470.17,4.37742064,168400.116182308
1612755600,02/08/2021 03:40:00,BTC/USD,38434.26,38434.26,38390.98,38390.98,1.61605931,62042.1006490238
1612755540,02/08/2021 03:39:00,BTC/USD,38457.82,38457.82,38448.92,38448.92,0.377,14495.2428399999
1612755480,02/08/2021 03:38:00,BTC/USD,38439.03,38468.08,38439.03,38468.08,0.77086076,29653.5333845408
1612755420,02/08/2021 03:37:00,BTC/USD,38473.61,38499.58,38444.27,38444.27,0.69171367,26592.4270921708
1612755360,02/08/2021 03:36:00,BTC/USD,38398.34,38501.51,38398.34,38489.51,2.94168451,113223.99536449
1612755300,02/08/2021 03:35:00,BTC/USD,38372.27,38405.19,38372.27,38405.19,0.94258986,36200.3426653734
1612755240,02/08/2021 03:34:00,BTC/USD,38322.02,38371.02,38322.02,38350.06,0.81010128,31067.4326940768
1612755180,02/08/2021 03:33:00,BTC/USD,38321.48,38343.71,38306.75,38343.71,1.5810286,60622.502140106
1612755120,02/08/2021 03:32:00,BTC/USD,38395.52,38395.52,38336.11,38346.56,1.529,58631.8902399999
1612755060,02/08/2021 03:31:00,BTC/USD,38391.4,38403.9,38389.44,38403.85,2.78946597,107126.232691984
1612755000,02/08/2021 03:30:00,BTC/USD,38398.29,38400,38373.76,38373.76,0.7217583,27696.579782208
1612754940,02/08/2021 03:29:00,BTC/USD,38332.87,38395.05,38332.87,38395.05,1.7227852,66146.42389326
1612754880,02/08/2021 03:28:00,BTC/USD,38295.82,38301.79,38295.82,38301.79,0.78062903,29899.4891749637
1612754820,02/08/2021 03:27:00,BTC/USD,38323.71,38332.85,38279.61,38300.25,3.83248502,146785.134387255
1612754760,02/08/2021 03:26:00,BTC/USD,38400.59,38400.59,38317.87,38317.87,3.21494458,123189.828473644
1612754700,02/08/2021 03:25:00,BTC/USD,38333.68,38440.9,38333.68,38413.49,3.32374208,127676.533152659
1612754640,02/08/2021 03:24:00,BTC/USD,38380.88,38380.88,38375.61,38375.61,0.08923331,3424.38270356909
1612754580,02/08/2021 03:23:00,BTC/USD,38368.52,38379.38,38368.52,38379.38,0.18867561,7241.2529329218
1612754520,02/08/2021 03:22:00,BTC/USD,38395.83,38404.67,38353.44,38363.08,1.09408555,41972.491481494
1612754460,02/08/2021 03:21:00,BTC/USD,38473.8,38484.28,38424.46,38436.2,4.16500583,160086.997083045
1612754400,02/08/2021 03:20:00,BTC/USD,38496.73,38523.92,38496.73,38497.5,1.55688207,59936.0674898249
1612754340,02/08/2021 03:19:00,BTC/USD,38425.47,38485.61,38425.47,38485.61,0.95333945,36689.8502703145
1612754280,02/08/2021 03:18:00,BTC/USD,38372.02,38372.02,38371.28,38371.28,0.12929216,4961.1056731648
1612754220,02/08/2021 03:17:00,BTC/USD,38338.4,38340.27,38338.4,38340.27,0.3983,15270.9295409999
1612754160,02/08/2021 03:16:00,BTC/USD,38337.65,38361.01,38337.64,38361.01,0.59633649,22876.0700562549
1612754100,02/08/2021 03:15:00,BTC/USD,38389.64,38389.64,38351.26,38351.55,0.34238427,13130.9674501185
1612754040,02/08/2021 03:14:00,BTC/USD,38380.03,38408.89,38380.03,38388.79,1.08599369,41689.9837067351
1612753980,02/08/2021 03:13:00,BTC/USD,38360.15,38373.13,38335.55,38348.41,0.24334266,9331.8040961706
1612753920,02/08/2021 03:12:00,BTC/USD,38364.36,38364.36,38364.36,38364.36,0.00066863,25.6515620268
1612753860,02/08/2021 03:11:00,BTC/USD,38363.4,38363.4,38363.4,38363.4,0.46229597,17735.245215498
1612753800,02/08/2021 03:10:00,BTC/USD,38336.25,38336.25,38336.25,38336.25,0.48919175,18753.7772259374
1612753740,02/08/2021 03:09:00,BTC/USD,38400,38400,38346.08,38346.08,3.22591353,123701.138294462
1612753680,02/08/2021 03:08:00,BTC/USD,38374.7,38400,38374.7,38400,5.02688114,193032.235776
1612753620,02/08/2021 03:07:00,BTC/USD,38333.63,38349.86,38333.63,38349.86,0.1469035,5633.72865851
1612753560,02/08/2021 03:06:00,BTC/USD,38396.19,38396.19,38336.6,38336.6,2.57056822,98546.845622852
1612753500,02/08/2021 03:05:00,BTC/USD,38355.4,38367.68,38355.4,38367.68,1.09969767,42192.8482993056
1612753440,02/08/2021 03:04:00,BTC/USD,38314.53,38337.23,38314.53,38337.23,0.44169524,16933.3720057852
1612753380,02/08/2021 03:03:00,BTC/USD,38308.52,38342.84,38308.52,38342.84,0.92028021,35286.1568471964
1612753320,02/08/2021 03:02:00,BTC/USD,38265.98,38302.3,38262,38302.3,0.35601,13636.001823
1612753260,02/08/2021 03:01:00,BTC/USD,38232.79,38232.79,38188.12,38232.64,6.18997151,236658.952352086
1612753200,02/08/2021 03:00:00,BTC/USD,38307.55,38307.55,38287.08,38287.08,0.31349242,12002.7093639336
1612753140,02/08/2021 02:59:00,BTC/USD,38312.32,38317.8,38299.85,38299.85,0.4142405,15865.349013925
1612753080,02/08/2021 02:58:00,BTC/USD,38234.34,38274.43,38234.34,38265.37,5.11232,195624.8163584
1612753020,02/08/2021 02:57:00,BTC/USD,38301.8,38313.05,38277.79,38300.05,1.27208782,48721.027110391
1612752960,02/08/2021 02:56:00,BTC/USD,38300.76,38308.15,38294.83,38299.16,1.27554383,48852.2572321828
1612752900,02/08/2021 02:55:00,BTC/USD,38221.23,38253.85,38209.77,38253.85,5.33579265,204114.611664202
1612752840,02/08/2021 02:54:00,BTC/USD,38248.15,38251.25,38221.23,38221.23,4.81439034,184011.920494918
1612752780,02/08/2021 02:53:00,BTC/USD,38346.95,38346.95,38222.1,38222.1,14.63307074,559306.693131354
1612752720,02/08/2021 02:52:00,BTC/USD,38327.13,38343.77,38306.97,38328.4,1.54138148,59078.685918032
1612752660,02/08/2021 02:51:00,BTC/USD,38356.22,38368.71,38284.36,38289.96,9.3704726,358795.021035095
1612752600,02/08/2021 02:50:00,BTC/USD,38385.53,38399.61,38382.58,38399.61,0.45952726,17645.6675683686
1612752540,02/08/2021 02:49:00,BTC/USD,38430.77,38430.77,38393.88,38393.88,1.12800293,43308.4091340684
1612752480,02/08/2021 02:48:00,BTC/USD,38450,38454.98,38412.52,38416.59,4.37021791,167888.869659126
1612752420,02/08/2021 02:47:00,BTC/USD,38432.52,38450,38428.18,38450,2.79802602,107584.100469
1612752360,02/08/2021 02:46:00,BTC/USD,38430.19,38467.79,38430.19,38467.79,1.25457346,48260.6683988534
1612752300,02/08/2021 02:45:00,BTC/USD,38450.45,38450.45,38425.99,38428.49,0.60096714,23094.2597298185
1612752240,02/08/2021 02:44:00,BTC/USD,38425.18,38463.7,38424.85,38463.7,0.63150161,24289.888476557
1612752180,02/08/2021 02:43:00,BTC/USD,38444.2,38452.31,38444.2,38448.95,0.52446685,20165.1996923075
1612752120,02/08/2021 02:42:00,BTC/USD,38452.9,38469.7,38452.9,38469.7,0.37852662,14561.8055134139
1612752060,02/08/2021 02:41:00,BTC/USD,38420.78,38464.21,38407.47,38464.21,1.13569972,43683.7925270212
1612752000,02/08/2021 02:40:00,BTC/USD,38374.75,38438.7,38374.75,38419.1,0.45736953,17571.725710023
1612751940,02/08/2021 02:39:00,BTC/USD,38356.58,38378.65,38356.58,38362.33,1.17375264,45027.8861140512
1612751880,02/08/2021 02:38:00,BTC/USD,38408.79,38408.79,38349.94,38349.94,0.15509724,5947.9698481656
1612751820,02/08/2021 02:37:00,BTC/USD,38397.79,38410.89,38334.06,38392.02,4.40910707,169274.526813581
1612751760,02/08/2021 02:36:00,BTC/USD,38380.95,38395.76,38380.95,38395.76,1.332387,51158.01147912
1612751700,02/08/2021 02:35:00,BTC/USD,38447.3,38447.3,38371.75,38425.61,11.29701404,434094.655665564
1612751640,02/08/2021 02:34:00,BTC/USD,38484.91,38484.91,38484.91,38484.91,0,0
1612751580,02/08/2021 02:33:00,BTC/USD,38443.42,38484.91,38443.31,38484.91,1.1784693,45353.284948263
1612751520,02/08/2021 02:32:00,BTC/USD,38476.96,38496.15,38451.3,38451.3,1.22774024,47208.208290312
1612751460,02/08/2021 02:31:00,BTC/USD,38546.89,38547.12,38520.42,38520.42,0.77139706,29714.5387379652
1612751400,02/08/2021 02:30:00,BTC/USD,38590.64,38608.8,38590.64,38600.64,0.9342,36060.717888
1612751340,02/08/2021 02:29:00,BTC/USD,38592.94,38594.24,38592.94,38594.24,0.322,12427.34528
1612751280,02/08/2021 02:28:00,BTC/USD,38571.6,38571.6,38571.6,38571.6,0.2591,9993.90156
1612751220,02/08/2021 02:27:00,BTC/USD,38557.99,38571.69,38557.93,38565.56,1.27895029,49323.4341460124
1612751160,02/08/2021 02:26:00,BTC/USD,38523.91,38541.42,38523.91,38541.42,1.31210201,50570.2746502542
1612751100,02/08/2021 02:25:00,BTC/USD,38575.03,38603.24,38517.45,38517.45,0.47619455,18341.7997698974
1612751040,02/08/2021 02:24:00,BTC/USD,38545.82,38588.34,38538.31,38587.94,1.03593623,39974.6450870662
1612750980,02/08/2021 02:23:00,BTC/USD,38534.54,38537.12,38523.2,38537.12,0.59122042,22783.9322719904
1612750920,02/08/2021 02:22:00,BTC/USD,38508.41,38509.21,38500.52,38500.52,0.70459959,27127.4506067868
1612750860,02/08/2021 02:21:00,BTC/USD,38514.4,38553.98,38494,38502.33,4.28078773,164820.30184041
1612750800,02/08/2021 02:20:00,BTC/USD,38479.51,38508.1,38479.51,38508.1,1.24999752,48135.0294999119
1612750740,02/08/2021 02:19:00,BTC/USD,38493.6,38500.52,38420.21,38500.52,5.17360759,199186.582490946
